지역,년도,순이동 인구수
서울특별시,2012년,1983
부산광역시,2012년,298
대구광역시,2012년,170
인천광역시,2012년,333
광주광역시,2012년,192
대전광역시,2012년,6540
울산광역시,2012년,-15
세종특별자치시,2012년,0
경기도,2012년,3902
강원특별자치도,2012년,118
충청북도,2012년,827
충청남도,2012년,2440
전북특별자치도,2012년,288
전라남도,2012년,104
경상북도,2012년,148
경상남도,2012년,146
제주특별자치도,2012년,19
서울특별시,2013년,1756
부산광역시,2013년,77
대구광역시,2013년,124
인천광역시,2013년,280
광주광역시,2013년,128
대전광역시,2013년,1662
울산광역시,2013년,9
세종특별자치시,2013년,0
경기도,2013년,2372
강원특별자치도,2013년,34
충청북도,2013년,919
충청남도,2013년,710
전북특별자치도,2013년,252
전라남도,2013년,133
경상북도,2013년,135
경상남도,2013년,72
제주특별자치도,2013년,33
서울특별시,2014년,4984
부산광역시,2014년,245
대구광역시,2014년,334
인천광역시,2014년,668
광주광역시,2014년,398
대전광역시,2014년,11349
울산광역시,2014년,98
세종특별자치시,2014년,0
경기도,2014년,5701
강원특별자치도,2014년,271
충청북도,2014년,4072
충청남도,2014년,3759
전북특별자치도,2014년,597
전라남도,2014년,216
경상북도,2014년,333
경상남도,2014년,360
제주특별자치도,2014년,71
서울특별시,2015년,5322
부산광역시,2015년,565
대구광역시,2015년,660
인천광역시,2015년,1045
광주광역시,2015년,690
대전광역시,2015년,22104
울산광역시,2015년,190
세종특별자치시,2015년,0
경기도,2015년,7087
강원특별자치도,2015년,449
충청북도,2015년,6753
충청남도,2015년,5479
전북특별자치도,2015년,1011
전라남도,2015년,448
경상북도,2015년,574
경상남도,2015년,618
제주특별자치도,2015년,49
서울특별시,2016년,3131
부산광역시,2016년,512
대구광역시,2016년,379
인천광역시,2016년,861
광주광역시,2016년,469
대전광역시,2016년,12969
울산광역시,2016년,168
세종특별자치시,2016년,0
경기도,2016년,3693
강원특별자치도,2016년,300
충청북도,2016년,2918
충청남도,2016년,2517
전북특별자치도,2016년,668
전라남도,2016년,325
경상북도,2016년,389
경상남도,2016년,471
제주특별자치도,2016년,46
서울특별시,2017년,2618
부산광역시,2017년,419
대구광역시,2017년,487
인천광역시,2017년,633
광주광역시,2017년,451
대전광역시,2017년,17836
울산광역시,2017년,233
세종특별자치시,2017년,0
경기도,2017년,3251
강원특별자치도,2017년,315
충청북도,2017년,3455
충청남도,2017년,2706
전북특별자치도,2017년,844
전라남도,2017년,348
경상북도,2017년,556
경상남도,2017년,546
제주특별자치도,2017년,-8
서울특별시,2018년,2137
부산광역시,2018년,413
대구광역시,2018년,510
인천광역시,2018년,354
광주광역시,2018년,583
대전광역시,2018년,15815
울산광역시,2018년,230
세종특별자치시,2018년,0
경기도,2018년,2817
강원특별자치도,2018년,421
충청북도,2018년,3005
충청남도,2018년,2531
전북특별자치도,2018년,885
전라남도,2018년,427
경상북도,2018년,561
경상남도,2018년,685
제주특별자치도,2018년,59
서울특별시,2019년,1431
부산광역시,2019년,321
대구광역시,2019년,357
인천광역시,2019년,285
광주광역시,2019년,368
대전광역시,2019년,13282
울산광역시,2019년,155
세종특별자치시,2019년,0
경기도,2019년,1853
강원특별자치도,2019년,107
충청북도,2019년,1560
충청남도,2019년,2165
전북특별자치도,2019년,646
전라남도,2019년,336
경상북도,2019년,461
경상남도,2019년,354
제주특별자치도,2019년,43
서울특별시,2020년,439
부산광역시,2020년,367
대구광역시,2020년,368
인천광역시,2020년,216
광주광역시,2020년,330
대전광역시,2020년,7171
울산광역시,2020년,166
세종특별자치시,2020년,0
경기도,2020년,402
강원특별자치도,2020년,154
충청북도,2020년,8
충청남도,2020년,1643
전북특별자치도,2020년,575
전라남도,2020년,305
경상북도,2020년,546
경상남도,2020년,328
제주특별자치도,2020년,7
서울특별시,2021년,918
부산광역시,2021년,344
대구광역시,2021년,377
인천광역시,2021년,261
광주광역시,2021년,334
대전광역시,2021년,6668
울산광역시,2021년,149
세종특별자치시,2021년,0
경기도,2021년,996
강원특별자치도,2021년,204
충청북도,2021년,1149
충청남도,2021년,1081
전북특별자치도,2021년,548
전라남도,2021년,213
경상북도,2021년,411
경상남도,2021년,389
제주특별자치도,2021년,43
서울특별시,2022년,342
부산광역시,2022년,371
대구광역시,2022년,340
인천광역시,2022년,117
광주광역시,2022년,182
대전광역시,2022년,3618
울산광역시,2022년,119
세종특별자치시,2022년,0
경기도,2022년,1313
강원특별자치도,2022년,156
충청북도,2022년,1532
충청남도,2022년,677
전북특별자치도,2022년,376
전라남도,2022년,182
경상북도,2022년,330
경상남도,2022년,394
제주특별자치도,2022년,79
서울특별시,2023년,-535
부산광역시,2023년,138
대구광역시,2023년,123
인천광역시,2023년,-24
광주광역시,2023년,140
대전광역시,2023년,1373
울산광역시,2023년,58
세종특별자치시,2023년,0
경기도,2023년,253
강원특별자치도,2023년,125
충청북도,2023년,-134
충청남도,2023년,-606
전북특별자치도,2023년,150
전라남도,2023년,72
경상북도,2023년,150
경상남도,2023년,348
제주특별자치도,2023년,59
